what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.esb.project.core,1.4.1.v20111111-0222-H200-Final,"org.jboss.tools.esb.project.core",1435676995984
started,bundle,org.jboss.tools.esb.project.ui,1.4.1.v20111111-0222-H200-Final,"org.jboss.tools.esb.project.ui",1435676995984
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20111025-2055-H161-Final,"org.jboss.tools.jmx.core",1435676996000
started,bundle,org.jboss.tools.runtime,1.2.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime",1435676996000
started,bundle,org.jboss.tools.runtime.ui,1.0.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime.ui",1435676996000
started,bundle,org.jboss.tools.seam.core,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.core",1435676996000
started,bundle,org.jboss.tools.seam.ui,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.ui",1435676996000
started,bundle,org.jboss.tools.usage,1.0.1.v20111025-0334-H157-Final,"org.jboss.tools.usage",1435676996000
os,sysinfo,,,"win32",1435676996015
arch,sysinfo,,,"x86_64",1435676996015
ws,sysinfo,,,"win32",1435676996015
locale,sysinfo,,,"en_US",1435676996015
processors,sysinfo,,,"4",1435676996015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1435676996015
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1435676996015
java.specification.name,sysinfo,,,"Java Platform API Specification",1435676996015
java.specification.vendor,sysinfo,,,"Oracle Corporation",1435676996015
java.specification.version,sysinfo,,,"1.8",1435676996015
java.vendor,sysinfo,,,"Oracle Corporation",1435676996015
java.version,sysinfo,,,"1.8.0_25",1435676996015
java.vm.info,sysinfo,,,"mixed mode",1435676996015
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1435676996015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1435676996015
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1435676996015
java.vm.specification.version,sysinfo,,,"1.8",1435676996015
java.vm.vendor,sysinfo,,,"Oracle Corporation",1435676996015
java.vm.version,sysinfo,,,"25.25-b02",1435676996015
started,bundle,org.jboss.tools.jst.web.ui,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.ui",1435676996156
started,bundle,org.jboss.tools.common.projecttemplates,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.projecttemplates",1435676996942
started,bundle,org.jboss.tools.jst.web,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web",1435676996942
started,bundle,org.jboss.tools.portlet.core,1.2.0.v20111025-0629-H191-Final,"org.jboss.tools.portlet.core",1435676996942
started,bundle,org.jboss.tools.jsf.ui,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.ui",1435676996942
started,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20111025-0439-H174-Final,"org.jboss.tools.common.verification.ui",1435676996942
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1435676997082
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1435676997098
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1435676997098
started,bundle,org.jboss.tools.jst.web.kb,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.kb",1435676997113
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1435676997113
started,bundle,org.jboss.tools.common.verification,3.2.0.v20111025-0439-H174-Final,"org.jboss.tools.common.verification",1435676997113
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1435676997129
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1435676997144
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1435676997144
started,bundle,org.jboss.tools.jsf,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf",1435676997144
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1435676997160
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1435676997191
