what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902496724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902499354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902555974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902580704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902763164
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1435902768496
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/FRWS",1435902768496
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1435902768506
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/FRWS",1435902768506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1435902768576
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1435902770420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902785820
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1435902814180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902814590
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1435902814880
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1435902814970
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1435902815112
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1435902875154
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1435902875174
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1435902875284
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1435902875294
started,bundle,org.jboss.tools.common.el.ui,3.2.0.v20111025-0439-H174-Final,"org.jboss.tools.common.el.ui",1435902875314
started,bundle,org.jboss.tools.cdi.ui,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.ui",1435902875314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1435902875804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1435902882746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1435902889818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902916500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902916790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902959980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435902960260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1435902966701
