what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853142919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853167119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853182639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853194149
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1435853195469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435853198939
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1435853204111
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1435853207751
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1435853208514
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1435853215448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853226755
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853233155
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1435853234355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853241065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853243075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853243115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853244497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435853244497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853269045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435853270745
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1435853270745
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1435853275613
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1435853275653
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1435853301680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1435853301760
started,bundle,org.jboss.tools.cdi.ui,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.ui",1435853306500
started,bundle,org.jboss.tools.cdi.core,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.core",1435853306500
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1435853306520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1435853308870
