what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508364895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435508375833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508387015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508417646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435508421974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508437551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508451074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435508452202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508459467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508472608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435508480757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1435508490277
started,bundle,org.drools.eclipse,5.2.1.Final,"org.drools.eclipse",1435508496293
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1435508501518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508507229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508507452
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1435508507484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508507655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508523791
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1435508533774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1435508540996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508551782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508554647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1435508578997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508581061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508582608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508592640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508605899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435508622284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435509042014
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1435509046444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435509053826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435509118679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435509124497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435509129914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1435509165839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435509170872
