what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.esb.project.ui,1.4.1.v20111111-0222-H200-Final,"org.jboss.tools.esb.project.ui",1435904689320
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20111025-2055-H161-Final,"org.jboss.tools.jmx.core",1435904689322
started,bundle,org.jboss.tools.jsf.ui,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.ui",1435904689323
started,bundle,org.jboss.tools.jst.web,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web",1435904689324
started,bundle,org.jboss.tools.jst.web.ui,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.ui",1435904689326
started,bundle,org.jboss.tools.seam.core,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.core",1435904689327
started,bundle,org.jboss.tools.seam.ui,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.ui",1435904689329
os,sysinfo,,,"win32",1435904689338
arch,sysinfo,,,"x86_64",1435904689338
ws,sysinfo,,,"win32",1435904689338
locale,sysinfo,,,"en_US",1435904689338
processors,sysinfo,,,"4",1435904689338
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1435904689338
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1435904689338
java.specification.name,sysinfo,,,"Java Platform API Specification",1435904689338
java.specification.vendor,sysinfo,,,"Oracle Corporation",1435904689338
java.specification.version,sysinfo,,,"1.8",1435904689338
java.vendor,sysinfo,,,"Oracle Corporation",1435904689338
java.version,sysinfo,,,"1.8.0_25",1435904689338
java.vm.info,sysinfo,,,"mixed mode",1435904689338
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1435904689338
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1435904689338
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1435904689338
java.vm.specification.version,sysinfo,,,"1.8",1435904689338
java.vm.vendor,sysinfo,,,"Oracle Corporation",1435904689338
java.vm.version,sysinfo,,,"25.25-b02",1435904689338
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1435904689505
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1435904689509
started,bundle,org.jboss.ide.eclipse.as.ui,2.2.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.ui",1435904689522
started,bundle,org.jboss.tools.runtime,1.2.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime",1435904689530
started,bundle,org.jboss.tools.runtime.ui,1.0.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime.ui",1435904689537
started,bundle,org.jboss.tools.usage,1.0.1.v20111025-0334-H157-Final,"org.jboss.tools.usage",1435904689564
started,bundle,org.jboss.tools.portlet.core,1.2.0.v20111025-0629-H191-Final,"org.jboss.tools.portlet.core",1435904689777
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1435904690079
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20111025-0345-H201-Final,"org.jboss.ide.eclipse.archives.core",1435904690081
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.2.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.archives.webtools",1435904690082
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.2.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.wtp.core",1435904690083
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1435904690329
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1435904690333
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1435904690335
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1435904690424
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1435904690425
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1435904690426
started,bundle,org.jboss.tools.jsf,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf",1435904690429
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1435904690500
started,bundle,org.jboss.tools.smooks.ui,1.2.0.v20111025-0650-H200-Final,"org.jboss.tools.smooks.ui",1435904690705
started,bundle,org.jboss.tools.smooks.core,1.2.0.v20111025-0650-H200-Final,"org.jboss.tools.smooks.core",1435904691018
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1435904691019
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1435904691020
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1435904691020
started,bundle,org.jboss.tools.jst.web.kb,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.kb",1435904691023
started,bundle,org.jboss.tools.common.verification,3.2.0.v20111025-0439-H174-Final,"org.jboss.tools.common.verification",1435904691024
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1435904691026
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1435904736338
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1435904736338
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1435904736338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435904736858
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1435904736938
