what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496752408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496778711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1435496790459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496793566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496834425
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1435496840855
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1435496840860
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1435496840870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496840900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1435496854538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1435496855083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1435496857340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496982003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1435496993131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1435496993946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435496996591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435497184204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435497189783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435497253086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1435497254996
